State,CO2,CH4,N2O,Annual NOX,Ozone Season NOX
AK,920,0.075,0.01,6.1,6.2
AL,750.8,0.055,0.008,0.2,0.2
AR,"1,086.90",0.091,0.013,0.6,0.6
AZ,724.8,0.042,0.006,0.4,0.4
CA,479,0.025,0.003,0.4,0.4
CO,"1,216.90",0.113,0.016,0.6,0.6
CT,515.1,0.048,0.006,0.2,0.2
DC,651.7,0.018,0.002,2.9,2.8
DE,867.5,0.04,0.005,0.4,0.4
FL,834.1,0.052,0.007,0.3,0.3
GA,758.1,0.064,0.009,0.3,0.3
HI,"1,491.00",0.164,0.025,4.8,4.8
IA,768.9,0.081,0.012,0.5,0.7
ID,271.3,0.009,0.001,0.2,0.2
IL,653,0.063,0.009,0.3,0.3
IN,"1,632.60",0.152,0.022,1,0.9
KS,838.2,0.095,0.014,0.6,0.6
KY,"1,727.10",0.186,0.027,0.9,0.9
LA,826,0.04,0.006,0.6,0.7
MA,851.4,0.129,0.017,0.7,0.6
MD,698.2,0.058,0.008,0.2,0.2
ME,301,0.124,0.018,0.4,0.4
MI,"1,003.80",0.096,0.014,0.8,0.8
MN,826,0.082,0.012,0.6,0.6
MO,"1,636.10",0.189,0.027,1.3,1.2
MS,834,0.036,0.005,0.4,0.5
MT,"1,045.00",0.117,0.017,0.9,0.8
NC,669.5,0.05,0.007,0.4,0.4
ND,"1,340.70",0.151,0.022,1.3,1.4
NE,"1,124.80",0.13,0.019,1,1.1
NH,304,0.063,0.008,0.2,0.1
NJ,480.9,0.035,0.004,0.2,0.2
NM,"1,134.30",0.097,0.014,0.7,0.7
NV,715.1,0.028,0.004,0.5,0.6
NY,455.3,0.027,0.003,0.2,0.2
OH,"1,208.20",0.099,0.014,0.6,0.5
OK,753.5,0.047,0.006,0.5,0.6
OR,325.8,0.015,0.002,0.5,0.5
PA,726.4,0.049,0.007,0.3,0.3
PR,"1,558.00",0.081,0.013,3.2,3
RI,832.7,0.016,0.002,0.4,0.4
SC,567,0.05,0.007,0.2,0.2
SD,302.9,0.025,0.004,0.1,0.1
TN,698.3,0.065,0.009,0.3,0.3
TX,856.4,0.057,0.008,0.5,0.5
UT,"1,560.50",0.157,0.023,1.6,1.6
VA,599.2,0.049,0.006,0.2,0.2
VT,36,0.137,0.018,0.2,0.2
WA,201.8,0.017,0.002,0.1,0.1
WI,"1,267.10",0.117,0.017,0.5,0.6
WV,"1,944.10",0.223,0.032,1,0.9
WY,"1,833.90",0.198,0.029,1.2,1.3
U.S.,852.3,0.071,0.01,0.5,0.5
